ts,symbol,last_price
1767631363400,ADAUSDT,0.4127
1767631363473,XRPUSDT,2.1815
1767631363672,DOGEUSDT,0.14991
1767631363895,SOLUSDT,135.17
1767631364087,DOTUSDT,2.178
1767631364164,BTCUSDT,93745
1767631364164,ETHUSDT,3179.44
1767631364201,BNBUSDT,904.86
1767631364295,LTCUSDT,82.99
1767631364399,ADAUSDT,0.4127
1767631364412,XRPUSDT,2.1818
1767631364672,DOGEUSDT,0.14994
1767631364892,SOLUSDT,135.2
1767631365065,DOTUSDT,2.179
1767631365118,BTCUSDT,93745
1767631365119,ETHUSDT,3179.56
1767631365198,BNBUSDT,904.86
1767631365297,LTCUSDT,83
1767631365404,ADAUSDT,0.4128
1767631365421,XRPUSDT,2.1821
1767631365672,DOGEUSDT,0.14997
1767631365892,SOLUSDT,135.2
1767631366119,BTCUSDT,93749.7
1767631366131,ETHUSDT,3179.56
1767631366200,BNBUSDT,904.86
1767631366292,LTCUSDT,82.99
1767631366399,ADAUSDT,0.4128
1767631366412,XRPUSDT,2.1821
1767631366670,DOGEUSDT,0.14996
1767631366891,SOLUSDT,135.21
1767631367106,BTCUSDT,93749.7
1767631367119,ETHUSDT,3179.56
1767631367200,BNBUSDT,904.86
1767631367292,LTCUSDT,83
1767631367400,ADAUSDT,0.4128
1767631367412,XRPUSDT,2.1823
1767631367709,DOGEUSDT,0.14996
1767631367964,SOLUSDT,135.23
1767631368104,DOTUSDT,2.179
1767631368118,BTCUSDT,93749.7
1767631368119,ETHUSDT,3179.88
1767631368256,BNBUSDT,904.87
1767631368395,LTCUSDT,83
1767631368412,ADAUSDT,0.4128
1767631368415,XRPUSDT,2.182
1767631368720,DOGEUSDT,0.14996
1767631368893,SOLUSDT,135.23
1767631369066,DOTUSDT,2.178
1767631369119,BTCUSDT,93749.7
1767631369130,ETHUSDT,3179.87
1767631369202,BNBUSDT,904.87
1767631369294,LTCUSDT,83
1767631369402,ADAUSDT,0.4128
1767631369415,XRPUSDT,2.1819
1767631369683,DOGEUSDT,0.14997
1767631369892,SOLUSDT,135.25
1767631370119,BTCUSDT,93767.6
1767631370119,ETHUSDT,3179.77
1767631370199,BNBUSDT,904.87
1767631370293,LTCUSDT,83
1767631370401,ADAUSDT,0.4128
1767631370414,XRPUSDT,2.182
1767631370675,DOGEUSDT,0.15002
1767631370887,SOLUSDT,135.26
1767631371065,DOTUSDT,2.178
1767631371119,BTCUSDT,93772.3
1767631371119,ETHUSDT,3179.93
1767631371198,BNBUSDT,904.87
1767631371291,LTCUSDT,83
1767631371400,ADAUSDT,0.4128
1767631371409,XRPUSDT,2.182
1767631371667,DOGEUSDT,0.15005
1767631371887,SOLUSDT,135.26
1767631372064,DOTUSDT,2.179
1767631372117,BTCUSDT,93772.3
1767631372118,ETHUSDT,3179.93
1767631372201,BNBUSDT,904.87
1767631372291,LTCUSDT,83
1767631372414,ADAUSDT,0.4128
1767631372422,XRPUSDT,2.1821
1767631372666,DOGEUSDT,0.15005
1767631372892,SOLUSDT,135.26
1767631373066,DOTUSDT,2.179
1767631373118,BTCUSDT,93772.3
1767631373129,ETHUSDT,3179.93
1767631373199,BNBUSDT,904.87
1767631373293,LTCUSDT,83
1767631373400,ADAUSDT,0.4128
1767631373413,XRPUSDT,2.1817
1767631373670,DOGEUSDT,0.15005
1767631373888,SOLUSDT,135.26
1767631374066,DOTUSDT,2.18
1767631374119,BTCUSDT,93772.3
1767631374130,ETHUSDT,3179.93
1767631374201,BNBUSDT,904.86
1767631374292,LTCUSDT,82.99
1767631374400,ADAUSDT,0.4128
1767631374415,XRPUSDT,2.1817
1767631374671,DOGEUSDT,0.15005
1767631374899,SOLUSDT,135.31
1767631375065,DOTUSDT,2.18
1767631375118,BTCUSDT,93791.3
1767631375131,ETHUSDT,3181.69
1767631375206,BNBUSDT,905.16
1767631375292,LTCUSDT,83.05
1767631375403,ADAUSDT,0.4131
1767631375412,XRPUSDT,2.183
1767631375671,DOGEUSDT,0.15013
1767631375902,SOLUSDT,135.34
1767631376065,DOTUSDT,2.181
1767631376138,BTCUSDT,93808
1767631376139,ETHUSDT,3182.27
1767631376204,BNBUSDT,905.28
1767631376292,LTCUSDT,83.05
1767631376402,ADAUSDT,0.4132
1767631376413,XRPUSDT,2.1831
1767631376671,DOGEUSDT,0.15013
1767631376891,SOLUSDT,135.33
1767631377066,DOTUSDT,2.182
1767631377119,BTCUSDT,93809.6
1767631377120,ETHUSDT,3182.28
1767631377201,BNBUSDT,905.28
1767631377291,LTCUSDT,83.05
1767631377400,ADAUSDT,0.4132
1767631377412,XRPUSDT,2.1826
1767631377666,DOGEUSDT,0.15012
1767631377887,SOLUSDT,135.33
1767631378066,DOTUSDT,2.182
1767631378118,BTCUSDT,93809.6
1767631378130,ETHUSDT,3182.28
1767631378201,BNBUSDT,905.27
1767631378292,LTCUSDT,83.05
1767631378401,ADAUSDT,0.4132
1767631378410,XRPUSDT,2.1823
1767631378671,DOGEUSDT,0.15012
1767631378888,SOLUSDT,135.33
1767631379118,BTCUSDT,93809.6
1767631379119,ETHUSDT,3182.28
1767631379202,BNBUSDT,905.28
1767631379292,LTCUSDT,83.05
1767631379400,ADAUSDT,0.4132
1767631379414,XRPUSDT,2.1823
1767631379667,DOGEUSDT,0.15014
1767631379889,SOLUSDT,135.33
1767631380066,DOTUSDT,2.182
1767631380119,BTCUSDT,93809.6
1767631380131,ETHUSDT,3182.28
1767631380293,LTCUSDT,83.05
1767631380400,ADAUSDT,0.4132
1767631380411,XRPUSDT,2.1823
1767631380667,DOGEUSDT,0.15014
1767631380889,SOLUSDT,135.33
1767631381065,DOTUSDT,2.182
1767631381118,BTCUSDT,93809.6
1767631381130,ETHUSDT,3182.27
1767631381201,BNBUSDT,905.27
1767631381400,ADAUSDT,0.4132
1767631381413,XRPUSDT,2.1821
1767631381667,DOGEUSDT,0.15015
1767631381892,SOLUSDT,135.33
1767631382066,DOTUSDT,2.182
1767631382118,BTCUSDT,93809.6
1767631382118,ETHUSDT,3182.27
1767631382202,BNBUSDT,905.25
1767631382293,LTCUSDT,83.04
1767631382402,ADAUSDT,0.4133
1767631382461,XRPUSDT,2.1821
1767631382685,DOGEUSDT,0.15019
1767631382904,SOLUSDT,135.36
1767631383066,DOTUSDT,2.183
1767631383128,BTCUSDT,93828.9
1767631383136,ETHUSDT,3183.29
1767631383207,BNBUSDT,905.5
1767631383292,LTCUSDT,83.07
1767631383402,ADAUSDT,0.4137
1767631383412,XRPUSDT,2.1835
1767631383670,DOGEUSDT,0.15028
1767631383923,SOLUSDT,135.39
1767631384066,DOTUSDT,2.183
1767631384118,BTCUSDT,93836.1
1767631384129,ETHUSDT,3183.72
1767631384200,BNBUSDT,905.64
1767631384291,LTCUSDT,83.06
1767631384399,ADAUSDT,0.4137
1767631384408,XRPUSDT,2.1835
1767631384665,DOGEUSDT,0.15026
1767631384890,SOLUSDT,135.41
1767631385065,DOTUSDT,2.183
1767631385118,BTCUSDT,93836.1
1767631385128,ETHUSDT,3183.72
1767631385200,BNBUSDT,905.63
1767631385291,LTCUSDT,83.06
1767631385399,ADAUSDT,0.4137
1767631385412,XRPUSDT,2.1835
1767631385666,DOGEUSDT,0.15025
1767631385891,SOLUSDT,135.41
1767631386118,BTCUSDT,93836.1
1767631386119,ETHUSDT,3183.72
1767631386201,BNBUSDT,905.63
1767631386312,LTCUSDT,83.06
1767631386402,ADAUSDT,0.4137
1767631386414,XRPUSDT,2.183
1767631386666,DOGEUSDT,0.15024
1767631386887,SOLUSDT,135.42
1767631387066,DOTUSDT,2.183
1767631387117,BTCUSDT,93836.1
1767631387117,ETHUSDT,3183.56
1767631387200,BNBUSDT,905.63
1767631387291,LTCUSDT,83.07
1767631387398,ADAUSDT,0.4137
1767631387413,XRPUSDT,2.183
1767631387666,DOGEUSDT,0.15024
1767631387888,SOLUSDT,135.42
1767631388118,BTCUSDT,93836.1
1767631388118,ETHUSDT,3183.56
